ipo_date,ticker,company_name,offer_price,Current,first_day_return_pct,scrape_year,underpricing,first_day_close,sector,industry,exchange,risk_factors_path,mda_path,full_text_path
2019-11-08,MOHOY,ECMOHO Limited,10.0,-,,2019,,,,,,,,
2019-11-08,SRAC,Stable Road Acquisition Corp.,10.0,$10.97,9.7,2019,0.0969999999999999,10.97,Industrials,Aerospace & Defense,NASDAQ,,,
2019-11-08,TELA,"TELA Bio, Inc.",13.0,$0.68,-94.85,2019,-0.9485,0.6695000000000013,Healthcare,Medical Devices,NASDAQ,data/raw/s1_filings/TELA_2019-11-08_risk_factors.txt,data/raw/s1_filings/TELA_2019-11-08_mda.txt,data/raw/s1_filings/TELA_2019-11-08.txt
2019-11-07,CNTG,Centogene N.V.,14.0,-,,2019,,,Healthcare,Diagnostics & Research,OTCMKTS,,,
2019-11-07,DFNS,LGL Systems Acquisition,10.0,$13.84,38.4,2019,0.384,13.84,Industrials,Aerospace & Defense,NASDAQ,,,
2019-11-07,GRTX,"Galera Therapeutics, Inc.",12.0,$0.07,-99.44,2019,-0.9944,0.0672000000000005,Healthcare,Biotechnology,OTCMKTS,data/raw/s1_filings/GRTX_2019-11-07_risk_factors.txt,data/raw/s1_filings/GRTX_2019-11-07_mda.txt,data/raw/s1_filings/GRTX_2019-11-07.txt
2019-11-07,SICP,Silvergate Capital Corporation,12.0,$1.19,-90.08,2019,-0.9008,1.1904000000000008,Financials,Banks - Regional,OTCMKTS,,,
2019-11-05,MCMJ,Merida Merger Corp. I,10.0,$6.53,-34.7,2019,-0.347,6.53,,,OTCMKTS,,,
2019-11-05,XHG,XChange TEC.INC,,$1.04,,2019,,,Financials,Insurance Brokers,NASDAQ,data/raw/s1_filings/XHG_2019-11-05_risk_factors.txt,data/raw/s1_filings/XHG_2019-11-05_mda.txt,data/raw/s1_filings/XHG_2019-11-05.txt
2019-11-01,DUO,Fangdd Network Group Ltd.,13.0,$1.39,-89.12,2019,-0.8912,1.4144,Real Estate,Real Estate Services,NASDAQ,data/raw/s1_filings/DUO_2019-11-01_risk_factors.txt,data/raw/s1_filings/DUO_2019-11-01_mda.txt,data/raw/s1_filings/DUO_2019-11-01.txt
2019-11-01,FSRV,Finserv Acquisition Corp,10.0,$14.52,45.2,2019,0.452,14.52,Technology,Software - Infrastructure,NASDAQ,,,
