date,vix_close,nasdaq_close
2018-10-01,12.0,8037.2998046875
2018-10-02,12.050000190734863,7999.5498046875
2018-10-03,11.609999656677246,8025.08984375
2018-10-04,14.220000267028809,7879.509765625
2018-10-05,14.819999694824219,7788.4501953125
2018-10-08,15.6899995803833,7735.9501953125
2018-10-09,15.949999809265137,7738.02001953125
2018-10-10,22.959999084472656,7422.0498046875
2018-10-11,24.979999542236328,7329.06005859375
2018-10-12,21.309999465942383,7496.89013671875
2018-10-15,21.299999237060547,7430.740234375
2018-10-16,17.6200008392334,7645.490234375
2018-10-17,17.399999618530273,7642.7001953125
2018-10-18,20.059999465942383,7485.14013671875
2018-10-19,19.889999389648438,7449.02978515625
2018-10-22,19.639999389648438,7468.6298828125
2018-10-23,20.709999084472656,7437.5400390625
2018-10-24,25.229999542236328,7108.39990234375
2018-10-25,24.219999313354492,7318.33984375
2018-10-26,24.15999984741211,7167.2099609375
2018-10-29,24.700000762939453,7050.2900390625
2018-10-30,23.350000381469727,7161.64990234375
2018-10-31,21.229999542236328,7305.89990234375
2018-11-01,19.34000015258789,7434.06005859375
2018-11-02,19.510000228881836,7356.990234375
2018-11-05,19.959999084472656,7328.85009765625
2018-11-06,19.90999984741211,7375.9599609375
2018-11-07,16.360000610351562,7570.75
2018-11-08,16.719999313354492,7530.8798828125
2018-11-09,17.360000610351562,7406.89990234375
2018-11-12,20.450000762939453,7200.8701171875
2018-11-13,20.020000457763672,7200.8701171875
2018-11-14,21.25,7136.39013671875
2018-11-15,19.979999542236328,7259.02978515625
2018-11-16,18.139999389648438,7247.8701171875
2018-11-19,20.100000381469727,7028.47998046875
2018-11-20,22.479999542236328,6908.81982421875
2018-11-21,20.799999237060547,6972.25
2018-11-23,21.520000457763672,6938.97998046875
2018-11-26,18.899999618530273,7081.85009765625
2018-11-27,19.020000457763672,7082.7001953125
2018-11-28,18.489999771118164,7291.58984375
2018-11-29,18.790000915527344,7273.080078125
2018-11-30,18.06999969482422,7330.5400390625
2018-12-03,16.440000534057617,7441.509765625
2018-12-04,20.739999771118164,7158.43017578125
2018-12-06,21.190000534057617,7188.259765625
2018-12-07,23.229999542236328,6969.25
2018-12-10,22.639999389648438,7020.52001953125
2018-12-11,21.760000228881836,7031.830078125
2018-12-12,21.459999084472656,7098.31005859375
2018-12-13,20.649999618530273,7070.330078125
2018-12-14,21.6299991607666,6910.66015625
2018-12-17,24.520000457763672,6753.72998046875
2018-12-18,25.579999923706055,6783.91015625
2018-12-19,25.579999923706055,6636.830078125
2018-12-20,28.3799991607666,6528.41015625
2018-12-21,30.110000610351562,6332.990234375
2018-12-24,36.06999969482422,6192.919921875
2018-12-26,30.40999984741211,6554.35986328125
2018-12-27,29.959999084472656,6579.490234375
2018-12-28,28.34000015258789,6584.52001953125
2018-12-31,25.420000076293945,6635.27978515625
2019-01-02,23.219999313354492,6665.93994140625
2019-01-03,25.450000762939453,6463.5
2019-01-04,21.3799991607666,6738.85986328125
2019-01-07,21.399999618530273,6823.47021484375
2019-01-08,20.469999313354492,6897.0
2019-01-09,19.979999542236328,6957.080078125
2019-01-10,19.5,6986.06982421875
2019-01-11,18.190000534057617,6971.47998046875
2019-01-14,19.06999969482422,6905.919921875
2019-01-15,18.600000381469727,7023.830078125
2019-01-16,19.040000915527344,7034.68994140625
2019-01-17,18.059999465942383,7084.4599609375
2019-01-18,17.799999237060547,7157.22998046875
2019-01-22,20.799999237060547,7020.35986328125
2019-01-23,19.520000457763672,7025.77001953125
2019-01-24,18.889999389648438,7073.4599609375
2019-01-25,17.420000076293945,7164.85986328125
2019-01-28,18.8700008392334,7085.68017578125
2019-01-29,19.1299991607666,7028.2900390625
2019-01-30,17.65999984741211,7183.080078125
