ticker,first_day_close,underpricing,first_week_return,first_month_return,status
MKDTY,81.9000015258789,14.223048610758163,-0.17399267075101654,-0.2509157835029391,ok
INDO,10.699999809265137,-0.0272727446122603,-0.3074766374298637,-0.2523364352705133,ok
MNPR,132.5,15.5625,-0.3433962264150943,-0.3320754716981132,ok
CIIC,,,,,no_data
HCCO,,,,,no_data
OCFT,,,,,no_data
SPT,16.600000381469727,-0.023529389325310204,-0.036144600462750344,0.11566265254049066,ok
BILL,35.5,0.6136363636363636,0.07605635951942122,0.15718315017055456,ok
EH,12.899999618530273,0.031999969482421876,-0.2713178374805846,0.05736439896707458,ok
LIVK,,,,,no_data
XP,30.715618133544922,0.1376154864275897,0.10562977875449504,0.09083006961697931,ok
LMPX,0.002381989499554038,-0.9995236021000892,3.1511192879143453,3.7201489418914906,ok
ALUS,,,,,no_data
CHPM,,,,,no_data
PINE,12.702528953552246,-0.3314458445498818,-0.012104973082082924,-0.004314554669832735,ok
PTAC,,,,,no_data
CAN,8.989999771118164,-0.0011111365424262153,-0.0823136585048126,-0.41156839860574723,ok
GRNV,,,,,no_data
SITM,18.649999618530273,0.4346153552715595,-0.06702413005724807,0.13190354113343147,ok
AMHC,,,,,no_data
SAQN,,,,,no_data
YAYO,3.549999952316284,-0.11250001192092896,-0.1785633621560132,-0.5746478842970066,ok
ETNB,,,,,no_data
CNSP,4113000.0,1028249.0,-0.04157549234135667,-0.13785557986870897,ok
JIH,,,,,no_data
KRKR,261.20001220703125,17.0137939453125,-0.2358346218402566,-0.31087292653979987,ok
MOHOY,,,,,no_data
SRAC,,,,,no_data
TELA,13.350000381469727,0.026923106266902044,-0.09438203691969634,-0.08988769502996395,ok
CNTG,,,,,no_data
DFNS,55.71428680419922,4.571428680419922,0.0,0.0,ok
GRTX,12.0,0.0,0.10416666666666667,-0.16666666666666666,ok
SICP,12.520000457763672,0.04333337148030599,0.22603832429983398,0.22364210340937032,ok
MCMJ,,,,,no_data
DUO,46800.0,3599.0,0.0,0.011538461538461539,ok
FSRV,,,,,no_data
SFTW,,,,,no_data
OYST,,,,,no_data
RAPT,104.0,7.666666666666667,0.7130769582895132,0.6715384263258714,ok
CABA,10.0,-0.09090909090909091,0.075,0.31999998092651366,ok
DAO,12.5,-0.2647058823529412,0.18639999389648437,0.09919998168945313,ok
PAVS,107327.796875,19513.144886363636,0.08000002620476784,0.08822220886102577,ok
PGNY,15.9399995803833,0.22615381387563852,0.1530740053083883,0.6135508149578017,ok
PHAT,24.600000381469727,0.2947368621826172,-0.03333332041091732,-0.0020325668143828042,ok
TFFP,,,,,no_data
GLEO,,,,,no_data
LATN,,,,,no_data
BRBR,16.350000381469727,0.16785717010498047,-0.0030581738986286806,0.17675836833152728,ok
IPHA,6.050000190734863,0.10000003467906605,-0.0132232062844771,-0.047933876481052226,ok
HBT,12.35806941986084,-0.2276206612586975,0.02059185661782438,0.0888033414683554,ok
VIR,14.020000457763672,-0.2989999771118164,-0.025677646119634016,-0.053495005386014975,ok
BNTX,14.053853988647461,-0.06307640075683593,-0.08707861699365672,0.3862360036627337,ok
APRE,410.0,26.333333333333332,-0.05170734684641768,0.21853660025247715,ok
KRRO,685.0,47.92857142857143,-0.07518248175182482,0.16131386861313868,ok
MCBS,11.055109024047852,-0.1811030352557147,0.0016307626852098348,0.08007058586857523,ok
VIE,,,,,no_data
OPRT,16.170000076293945,0.07800000508626302,-0.10822510771447616,0.029684572663671922,ok
